TRBD1	0.0	0.0	0.0
TRDD2	0.0	0.0	0.0
TRDD3	0.0	0.0	0.0
TRDD1	0.0	0.0	0.0
IGHD1-26	0.0	0.0	0.0
IGHD7-27	0.0	0.0	0.0
IGHD1-1	0.0	0.0	0.0
IGHD3-10	0.0	0.0	0.0
IGHD2-21	0.0	0.0	0.0
IGHD3-22	0.0	0.0	0.0
IGHD6-6	0.0	0.0	0.0
IGHD5-5	0.0	0.0	0.0
IGHD5-12	0.0	0.0	0.0
IGHD6-19	0.0	0.0	0.0
IGHD1-20	0.0	0.0	0.0
IGHD4-17	0.0	0.0	0.0
IGHD4-4	0.0	0.0	0.0
IGHD3-3	0.0	0.0	0.0
IGHD3-9	0.0	0.0	0.0
IGHD6-25	0.0	0.0	0.0
IGHD4-11	0.0	0.0	0.0
IGHD4-23	0.0	0.0	0.0
IGHD2-2	0.0	0.0	0.0
IGHD6-13	0.0	0.0	0.0
IGHD1-14	0.0	0.0	0.0
IGHD5-24	0.0	0.0	0.0
IGHD2-15	0.0	0.0	0.0
IGHD1-7	0.0	0.0	0.0
IGHD2-8	0.0	0.0	0.0
IGHD5-18	0.0	0.0	0.0
IGHD3-16	0.0	0.0	0.0
IGHD3OR15-3A	0.0	0.0	0.0
IGHD1OR15-1B	0.0	0.0	0.0
IGHD3OR15-3B	0.0	0.0	0.0
IGHD2OR15-2A	0.0	0.0	0.0
IGHD5OR15-5A	0.0	0.0	0.0
IGHD5OR15-5B	0.0	0.0	0.0
IGHD4OR15-4B	0.0	0.0	0.0
IGHD1OR15-1A	0.0	0.0	0.0
IGHD2OR15-2B	0.0	0.0	0.0
IGHD4OR15-4A	0.0	0.0	0.0
TRBV7-1	0.0	0.0	0.0
TRBV7-3	3.53658	0.0	0.0
TRGV2	0.0	1.68831	1.27302
TRBV6-6	0.0	0.0	0.0
TRBV11-1	0.0	0.0	0.0
TRBV20-1	0.0	0.0	0.0
TRBV10-2	0.0	0.0	0.0
TRBV23-1	0.0	0.0	0.0
TRBV24-1	0.0	0.0	0.0
TRBV25-1	0.0	0.0	0.0
TRBV12-3	0.0	0.0	0.0
TRBV30	0.0	0.0	0.0
